 T  Chosen      Candidates            From    Delay    Data size


239s 55        37 31 49 61 7 55     55    0.428541    0.636306
240s 55        37 31 49 61 7 55     55    0.283561    0.357104
241s 55        37 31 49 61 7 55     55    0.44164    0.862418
242s 55        37 31 49 61 7 55     55    0.179889    0.353658
243s 55        37 31 49 61 7 55     55    0.225384    0.386954
244s 55        37 31 49 61 7 55     55    0.368338    0.780536
245s 55        37 31 49 61 7 55     55    0.184681    0.362302
246s 55        37 31 49 61 7 55     55    0.636343    0.827949
247s 55        37 31 49 61 7 55     55    0.444253    0.966669
248s 55        37 31 49 61 7 55     55    0.59335    0.977679
249s 55        37 31 49 61 7 55     55    0.779045    0.812922
250s 55        37 31 49 61 7 55     55    0.453394    0.880777
251s 55        37 31 49 61 7 55     55    0.2154    0.350601
252s 55        37 31 49 61 7 55     55    0.612927    0.634875
253s 55        37 31 49 61 7 55     55    0.537545    0.575505
254s 55        37 31 49 61 7 55     55    0.138501    0.271833
255s 55        37 31 49 61 7 55     55    0.534134    0.602024
256s 55        37 31 49 61 7 55     55    0.369878    0.591099
257s 55        37 31 49 61 7 55     55    0.158755    0.33789
258s 55        37 31 49 61 7 55     55    0.457036    0.942349
259s 55        37 31 49 61 7 55     55    0.419546    0.438725
260s 55        37 31 49 61 7 55     55    0.490166    0.830095
261s 55        37 31 49 61 7 55     55    0.304674    0.415046
262s 55        37 31 49 61 7 55     55    0.440531    0.588075
263s 55        37 31 49 61 7 55     55    0.556849    0.909519
264s 55        37 31 49 61 7 55     55    0.545225    0.564223
265s 55        37 31 49 61 7 55     55    0.346443    0.602604
266s 55        37 31 49 61 7 55     55    0.378227    0.374389
267s 55        37 31 49 61 7 55     55    0.352718    0.65779
268s 55        37 31 49 61 7 55     55    0.216441    0.341771
269s 55        37 31 49 61 7 55     55    0.276861    0.473936
270s 55        37 31 49 61 7 55     55    0.147963    0.258899
271s 55        37 31 49 61 7 55     55    0.609688    0.687717
272s 55        37 31 49 61 7 55     55    0.477835    0.913915
273s 55        37 31 49 61 7 55     55    0.196437    0.296494
274s 55        37 31 49 61 7 55     55    0.345531    0.712141
275s 7        37 31 49 61 7 55     7    0.253243    0.231134
276s 55        37 31 49 61 7 55     55    0.286073    0.314666
277s 55        37 31 49 61 7 55     55    0.626187    0.99998
278s 55        37 31 49 61 7 55     55    0.257576    0.531302
279s 55        37 31 49 61 7 55     55    0.395734    0.414358
280s 37        37 31 49 61 7 55     37    0.184778    0.239287
281s 55        37 31 49 61 7 55     55    0.391324    0.405765
282s 55        37 31 49 61 7 55     55    0.293174    0.367499
283s 55        37 31 49 61 7 55     55    0.210474    0.421313
284s 55        37 31 49 61 7 55     55    0.366548    0.784567
285s 55        37 31 49 61 7 55     55    0.215563    0.401393
286s 55        37 31 49 61 7 55     55    0.383021    0.720898
287s 55        37 31 49 61 7 55     55    0.54137    0.91819
288s 55        37 31 49 61 7 55     55    0.339308    0.583183
289s 55        37 31 49 61 7 55     55    0.871579    0.868197
290s 55        37 31 49 61 7 55     55    0.342341    0.419824
291s 55        37 31 49 61 7 55     55    0.29094    0.317053
292s 55        37 31 49 61 7 55     55    0.353898    0.721778
